model,precision,recall,f1,roc_auc,pr_auc
LogReg,0.85,0.6938775510204082,0.7640449438202247,0.9498901065772397,0.6847721110552554
LogReg_balanced,0.05565978736710444,0.9081632653061225,0.10489098408956983,0.9731310222457019,0.7239194116356641
RandomForest,0.9418604651162791,0.826530612244898,0.8804347826086957,0.9623482236169651,0.8730524640658963
LogReg_RUS,0.038461538461538464,0.9183673469387755,0.07383100902378999,0.9748814392808334,0.6843772764762338
LogReg_ROS,0.05434782608695652,0.9183673469387755,0.10262257696693272,0.9723165117200511,0.7151240194981258
LogReg_SMOTE,0.10653753026634383,0.8979591836734694,0.19047619047619047,0.9754048865607019,0.7356950269910534
